id,Segment
1,remote_api
3,remote_api
6,remote_api
8,remote_api
9,remote_api
11,remote_api
12,remote_api
13,remote_api
14,remote_api
17,remote_api
24,remote_api
31,remote_api
39,remote_api
40,remote_api
41,remote_api
44,remote_api
46,remote_api
49,new_haven
53,richmond
54,remote_api
55,remote_api
57,remote_api
60,remote_api
64,remote_api
66,remote_api
71,remote_api
76,remote_api
77,richmond
82,remote_api
83,remote_api
85,remote_api
88,remote_api
90,remote_api
94,remote_api
98,remote_api
101,remote_api
102,remote_api
103,remote_api
104,remote_api
105,chi_other
108,richmond
116,remote_api
118,remote_api
119,remote_api
120,remote_api
124,remote_api
125,oak_other
127,remote_api
130,remote_api
133,remote_api
135,remote_api
137,remote_api
139,remote_api
140,remote_api
141,remote_api
142,remote_api
143,remote_api
146,oak_other
147,remote_api
152,remote_api
154,remote_api
155,remote_api
156,remote_api
157,remote_api
160,richmond
162,remote_api
163,remote_api
164,remote_api
165,remote_api
174,remote_api
175,remote_api
176,remote_api
178,remote_api
181,new_haven
183,remote_api
187,remote_api
188,richmond
191,oak_other
192,remote_api
195,remote_api
198,remote_api
200,remote_api
209,remote_api
210,remote_api
214,remote_api
217,remote_api
221,remote_api
225,remote_api
226,remote_api
227,remote_api
229,remote_api
237,remote_api
241,remote_api
243,remote_api
244,richmond
247,remote_api
249,richmond
251,oak_other
254,remote_api
258,remote_api
262,remote_api
264,remote_api
266,remote_api
269,remote_api
272,remote_api
275,remote_api
281,remote_api
283,richmond
284,remote_api
287,remote_api
289,remote_api
292,remote_api
293,oak_other
294,remote_api
295,remote_api
298,remote_api
300,remote_api
308,remote_api
315,remote_api
316,remote_api
318,remote_api
322,remote_api
323,remote_api
324,remote_api
330,richmond
331,remote_api
333,remote_api
335,remote_api
338,remote_api
340,remote_api
341,remote_api
342,remote_api
344,remote_api
346,remote_api
353,remote_api
354,richmond
355,remote_api
357,remote_api
363,richmond
364,richmond
366,remote_api
368,remote_api
371,remote_api
374,remote_api
376,remote_api
380,remote_api
389,richmond
392,remote_api
393,remote_api
395,richmond
398,remote_api
400,remote_api
404,remote_api
406,remote_api
408,remote_api
409,remote_api
411,richmond
414,oak_other
416,remote_api
417,remote_api
421,remote_api
422,richmond
425,remote_api
434,remote_api
435,remote_api
436,remote_api
437,richmond
443,remote_api
444,remote_api
445,remote_api
447,oak_other
449,richmond
451,remote_api
452,remote_api
456,richmond
458,remote_api
463,richmond
467,remote_api
472,remote_api
473,remote_api
476,remote_api
478,remote_api
479,remote_api
481,remote_api
482,remote_api
485,remote_api
494,remote_api
500,remote_api
513,remote_api
515,remote_api
516,remote_api
517,remote_api
518,new_haven
519,oak_other
520,remote_api
521,remote_api
522,remote_api
524,remote_api
525,remote_api
530,remote_api
532,remote_api
536,remote_api
539,remote_api
543,remote_api
549,remote_api
551,remote_api
552,richmond
553,remote_api
554,richmond
556,remote_api
557,richmond
560,richmond
561,remote_api
562,remote_api
563,remote_api
566,remote_api
569,new_haven
571,remote_api
572,remote_api
573,richmond
577,remote_api
579,remote_api
584,remote_api
585,remote_api
586,remote_api
587,remote_api
590,remote_api
591,remote_api
592,remote_api
595,remote_api
600,richmond
608,oak_other
609,remote_api
612,remote_api
615,remote_api
616,remote_api
617,remote_api
619,remote_api
622,remote_api
624,richmond
625,remote_api
638,oak_other
639,remote_api
646,remote_api
647,remote_api
650,remote_api
652,remote_api
654,oak_other
656,remote_api
657,remote_api
661,richmond
668,richmond
672,remote_api
675,remote_api
683,remote_api
687,remote_api
690,new_haven
697,richmond
700,oak_other
705,remote_api
709,remote_api
715,richmond
716,remote_api
721,richmond
726,remote_api
729,remote_api
733,richmond
735,remote_api
738,richmond
740,remote_api
744,remote_api
745,richmond
748,remote_api
751,richmond
754,remote_api
755,remote_api
758,remote_api
761,richmond
764,new_haven
770,remote_api
771,new_haven
774,richmond
775,remote_api
776,remote_api
780,remote_api
784,remote_api
785,remote_api
786,remote_api
788,remote_api
796,remote_api
797,richmond
801,richmond
802,remote_api
805,remote_api
806,remote_api
808,remote_api
809,remote_api
810,remote_api
818,remote_api
819,remote_api
831,remote_api
832,remote_api
833,oak_other
840,remote_api
844,remote_api
846,richmond
850,remote_api
852,remote_api
855,remote_api
858,remote_api
859,remote_api
867,remote_api
874,remote_api
875,remote_api
888,remote_api
890,remote_api
892,richmond
894,remote_api
898,richmond
900,remote_api
904,richmond
905,richmond
908,remote_api
912,remote_api
914,richmond
916,remote_api
924,remote_api
927,remote_api
928,richmond
931,chi_other
932,remote_api
933,remote_api
934,remote_api
939,remote_api
942,richmond
949,remote_api
951,remote_api
957,remote_api
958,remote_api
962,remote_api
963,remote_api
965,remote_api
966,remote_api
967,remote_api
968,remote_api
971,remote_api
972,remote_api
973,remote_api
974,remote_api
977,remote_api
979,oak_other
981,remote_api
982,remote_api
986,remote_api
987,remote_api
992,remote_api
997,oak_other
1006,richmond
1009,remote_api
1012,remote_api
1013,remote_api
1014,remote_api
1022,remote_api
1026,new_haven
1027,remote_api
1028,remote_api
1032,remote_api
1037,richmond
1038,remote_api
1047,remote_api
1048,remote_api
1049,remote_api
1051,remote_api
1054,remote_api
1056,remote_api
1060,remote_api
1061,remote_api
1064,remote_api
1066,oak_other
1068,oak_other
1071,remote_api
1073,remote_api
1074,remote_api
1075,remote_api
1077,remote_api
1078,remote_api
1080,remote_api
1085,remote_api
1092,remote_api
1097,remote_api
1100,remote_api
1101,remote_api
1102,remote_api
1103,remote_api
1108,remote_api
1110,remote_api
1111,remote_api
1112,remote_api
1114,oak_other
1115,richmond
1116,remote_api
1117,remote_api
1123,remote_api
1124,remote_api
1127,remote_api
1129,richmond
1130,remote_api
1131,richmond
1134,remote_api
1137,remote_api
1142,remote_api
1150,remote_api
1152,richmond
1153,remote_api
1154,remote_api
1155,remote_api
1157,remote_api
1160,remote_api
1163,remote_api
1164,remote_api
1165,remote_api
1168,remote_api
1169,remote_api
1171,remote_api
1172,remote_api
1173,remote_api
1178,remote_api
1181,remote_api
1182,remote_api
1193,remote_api
1194,remote_api
1197,remote_api
1199,remote_api
1201,richmond
1208,remote_api
1209,remote_api
1210,remote_api
1211,remote_api
1219,remote_api
1220,remote_api
1221,remote_api
1223,remote_api
1228,remote_api
1231,remote_api
1234,richmond
1236,remote_api
1237,new_haven
1239,remote_api
1241,remote_api
1245,remote_api
1253,richmond
1256,remote_api
1259,remote_api
1264,remote_api
1265,remote_api
1266,richmond
1270,remote_api
1274,remote_api
1277,oak_other
1280,remote_api
1284,remote_api
1285,remote_api
1286,remote_api
1290,remote_api
1292,remote_api
1297,remote_api
1301,remote_api
1302,oak_other
1303,remote_api
1305,remote_api
1306,remote_api
1309,remote_api
1311,remote_api
1318,remote_api
1320,remote_api
1321,remote_api
1323,remote_api
1324,remote_api
1327,remote_api
1329,remote_api
1338,remote_api
1339,remote_api
1340,remote_api
1343,remote_api
1347,remote_api
1349,remote_api
1351,remote_api
1355,remote_api
1361,remote_api
1363,remote_api
1364,remote_api
1366,remote_api
1371,remote_api
1373,remote_api
1380,richmond
1381,remote_api
1384,richmond
1386,remote_api
1389,oak_other
1394,remote_api
1396,remote_api
1399,remote_api
1403,remote_api
1405,remote_api
1406,remote_api
1407,remote_api
1411,remote_api
1418,remote_api
1420,richmond
1423,remote_api
1426,remote_api
1431,remote_api
1437,remote_api
1438,remote_api
1439,remote_api
1444,richmond
1447,remote_api
1448,remote_api
1454,remote_api
1455,remote_api
1460,remote_api
1461,remote_api
1463,remote_api
1465,richmond
1467,remote_api
1474,remote_api
1476,remote_api
1478,remote_api
1481,remote_api
1484,remote_api
1486,remote_api
1487,new_haven
1488,remote_api
1490,remote_api
1491,remote_api
1493,remote_api
1496,remote_api
1499,remote_api
1500,remote_api
1501,remote_api
1506,remote_api
1508,richmond
1511,new_haven
1512,remote_api
1513,remote_api
1515,remote_api
1516,richmond
1519,remote_api
1529,remote_api
1530,remote_api
1531,oak_other
1532,remote_api
1533,remote_api
1537,remote_api
1539,remote_api
1543,remote_api
1552,richmond
1561,remote_api
1563,remote_api
1564,remote_api
1566,remote_api
1570,new_haven
1578,new_haven
1580,new_haven
1584,remote_api
1587,remote_api
1590,remote_api
1592,remote_api
1593,remote_api
1596,remote_api
1600,oak_other
1605,remote_api
1606,remote_api
1615,oak_other
1620,remote_api
1624,remote_api
1627,remote_api
1628,richmond
1629,remote_api
1633,remote_api
1642,remote_api
1645,remote_api
1647,remote_api
1648,remote_api
1649,remote_api
1652,remote_api
1653,richmond
1656,remote_api
1657,new_haven
1658,remote_api
1659,remote_api
1663,remote_api
1665,remote_api
1668,remote_api
1670,richmond
1671,remote_api
1672,richmond
1673,remote_api
1676,remote_api
1680,remote_api
1683,remote_api
1685,remote_api
1687,remote_api
1693,remote_api
1695,remote_api
1698,remote_api
1699,remote_api
1702,remote_api
1705,remote_api
1714,remote_api
1718,remote_api
1721,richmond
1722,remote_api
1726,richmond
1727,remote_api
1735,remote_api
1738,chi_other
1740,remote_api
1744,remote_api
1745,remote_api
1746,remote_api
1747,remote_api
1749,remote_api
1752,remote_api
1764,remote_api
1767,remote_api
1768,remote_api
1769,richmond
1770,richmond
